date,signal_date,holding_label,holding_symbol,holding_name,daily_return,strategy_nav,drawdown,score_25,annualized_return_25,r_squared_25,return_10d,selection_reason
2014-01-15,2014-01-14,纳指ETF国泰,513100,纳指ETF国泰,0.008517887563884274,1.0085178875638843,0.0,0.08648501922784065,0.25051453963035475,0.34522953979219373,0.0017064846416381396,top_ranked_risk_asset
2014-01-16,2014-01-15,纳指ETF国泰,513100,纳指ETF国泰,0.0016891891891892552,1.0102214650766612,0.0,0.12035099977710735,0.2915855133846237,0.41274684184448884,0.005093378607809784,top_ranked_risk_asset
2014-01-17,2014-01-16,纳指ETF国泰,513100,纳指ETF国泰,-0.005902192242832949,1.0042589437819425,-0.005902192242832838,0.15555847083664523,0.3298319809985404,0.4716294349799076,0.013675213675213627,top_ranked_risk_asset
2014-01-20,2014-01-17,纳指ETF国泰,513100,纳指ETF国泰,0.0,1.0042589437819425,-0.005902192242832838,0.13744879191536974,0.30575516275392944,0.4495387442598573,0.013757523645743674,top_ranked_risk_asset
2014-01-21,2014-01-20,黄金ETF易方达,159934,黄金ETF易方达,-0.0041326710717994874,1.000108671896379,-0.01001047149549017,0.1267432444971055,0.31885068579786324,0.3975003038803402,0.005376564457289845,top_ranked_risk_asset
2014-01-22,2014-01-21,纳指ETF国泰,513100,纳指ETF国泰,0.002525252525252597,1.0026341988456122,-0.007510497938660654,0.13399515215512833,0.2970645962469123,0.45106402394634426,0.024137931034482696,top_ranked_risk_asset
2014-01-23,2014-01-22,黄金ETF易方达,159934,黄金ETF易方达,-0.00250093848093913,1.0001266723954136,-0.009992653126293938,0.21880222067539748,0.3866237602591074,0.5659306104952284,0.007394047046943575,top_ranked_risk_asset
2014-01-24,2014-01-23,黄金ETF易方达,159934,黄金ETF易方达,0.014632615709958774,1.0147611416538556,0.0,0.21641745489175374,0.38055788647621824,0.5686847194146325,0.005455666873612763,top_ranked_risk_asset
2014-01-27,2014-01-24,黄金ETF易方达,159934,黄金ETF易方达,0.003483336565090145,1.018295896243411,0.0,0.2526433643096005,0.4093986895287094,0.6171083854724545,0.015259507536369288,top_ranked_risk_asset
2014-01-28,2014-01-27,黄金ETF易方达,159934,黄金ETF易方达,-0.00758957060807719,1.0105674676389564,-0.007589570608077079,0.24473280945921339,0.3965331214234302,0.617181254823554,0.004542174131606513,top_ranked_risk_asset
2014-01-29,2014-01-28,国证成长100指数,980080.CN,国证成长100指数,0.013655312252568441,1.0243670819618538,0.0,0.2755475062881677,0.6761242477807012,0.4075397490810604,0.04847834606790635,top_ranked_risk_asset
2014-01-30,2014-01-29,国证成长100指数,980080.CN,国证成长100指数,-0.00973108430194336,1.0143988795311472,-0.009731084301943471,0.384891972630797,0.8283616202313115,0.46464244990408876,0.054546168883256474,top_ranked_risk_asset
2014-02-07,2014-01-30,国证成长100指数,980080.CN,国证成长100指数,0.020299408701065058,1.0349905769726524,0.0,0.5227462293295729,0.9706697224341847,0.5385418101006207,0.04707822735008649,top_ranked_risk_asset
2014-02-10,2014-02-07,国证成长100指数,980080.CN,国证成长100指数,0.03253954530473857,1.0686686997420316,0.0,0.6680749282823756,1.1443220470375142,0.5838172304832594,0.07878620230041378,top_ranked_risk_asset
2014-02-11,2014-02-10,国证成长100指数,980080.CN,国证成长100指数,-0.006532061578521486,1.0616880899882781,-0.006532061578521486,1.008095124256001,1.5777128299333674,0.6389598316815213,0.12760511446307277,top_ranked_risk_asset
2014-02-12,2014-02-11,国证成长100指数,980080.CN,国证成长100指数,0.0034424577132463607,1.06534290634272,-0.003112090211039642,1.366843262162514,1.9546314029670198,0.6992844073249429,0.1028958853531563,top_ranked_risk_asset
2014-02-13,2014-02-12,国证成长100指数,980080.CN,国证成长100指数,-0.011489909966941214,1.0531022122649227,-0.014566242541646957,1.8172896447913496,2.3791676639014927,0.7638342065440046,0.07389380820933522,top_ranked_risk_asset
2014-02-14,2014-02-13,国证成长100指数,980080.CN,国证成长100指数,0.014888530654696197,1.0687813568347575,0.0,2.2040333201172433,2.683716669184923,0.8212615532125583,0.04723385697849114,top_ranked_risk_asset
2014-02-17,2014-02-14,国证成长100指数,980080.CN,国证成长100指数,0.021186531340135817,1.09142512654709,0.0,2.72187142288912,3.104576767260988,0.8767286580226812,0.052129843620030814,top_ranked_risk_asset
2014-02-18,2014-02-17,国证成长100指数,980080.CN,国证成长100指数,-0.011844742841614186,1.0784974765922635,-0.011844742841614186,3.138472734710447,3.5106663040486117,0.8939820714634884,0.07705190556487818,top_ranked_risk_asset
2014-02-19,2014-02-18,国证成长100指数,980080.CN,国证成长100指数,0.003808548292528524,1.0826049863152352,-0.008081305824210627,3.378918218882288,3.7081219519050377,0.9112208990716656,0.06721966729447115,top_ranked_risk_asset
