start_date,end_date,symbol,name,holding_days,period_return,contribution_to_total_return,max_drawdown_during_holding
2014-01-15,2014-01-20,NDX,纳指ETF国泰,4,0.0029592672548075516,0.0029592672548075516,-0.00554954507908112
2014-01-21,2014-01-21,159934,黄金ETF易方达,1,-0.0041326710717994874,-0.004144900749977198,-0.00965928170647068
2014-01-22,2014-01-22,NDX,纳指ETF国泰,1,0.00276888401286679,0.0027656011312369166,-0.0069171431242966985
2014-01-23,2014-01-28,159934,黄金ETF易方达,4,0.00791242589019836,0.007924927267027648,-0.009400782255818196
2014-01-29,2014-01-31,980080.CN,国证成长100指数,3,0.0037913469559260893,0.0038273833102833166,-0.00973108430194325
2014-02-03,2014-02-07,511880,银华日利ETF,5,0.0,0.0,-0.00973108430194325
2014-02-10,2014-02-24,980080.CN,国证成长100指数,11,0.027147742706859823,0.027509683965492915,-0.025963202603194735
2014-02-25,2014-03-06,399439.SZ,国证石油天然气指数,8,0.04364043988949584,0.04542280108493202,-0.042231173857822824
2014-03-07,2014-03-07,159934,黄金ETF易方达,1,0.008542208393941486,0.009279099978794836,0.0
2014-03-10,2014-03-12,399439.SZ,国证石油天然气指数,3,-0.0566415563239101,-0.062053309435169623,-0.0566415563239101
2014-03-13,2014-03-21,159934,黄金ETF易方达,7,-0.008741788456455235,-0.009034555793129284,-0.06488819627713727
2014-03-24,2014-03-24,511880,银华日利ETF,1,0.00010821298230179188,0.00011085943878219595,-0.06478700504007073
2014-03-25,2014-03-25,159934,黄金ETF易方达,1,-0.010275169026530695,-0.01052759763931177,-0.07439647663909199
2014-03-26,2014-03-26,511880,银华日利ETF,1,0.00010914584757504286,0.00011067817448684458,-0.07429545085801614
2014-03-27,2014-04-07,980081.CNI,国证价值100指数,8,0.01868624852207601,0.018950657779896574,-0.08012063557869453
2014-04-08,2014-04-08,511880,银华日利ETF,1,0.0,0.0,-0.05699750559473271
2014-04-09,2014-04-21,980081.CNI,国证价值100指数,9,-0.017559077648841903,-0.018140293580157785,-0.07355575961704641
2014-04-22,2014-04-23,399439.SZ,国证石油天然气指数,2,0.0056872457992005465,0.005772328714974018,-0.06828684350273484
2014-04-24,2014-04-30,511880,银华日利ETF,5,0.001201437908371794,0.0012263468770790098,-0.06818637353278112
2014-05-01,2014-05-01,159934,黄金ETF易方达,1,0.0,0.0,-0.0671674479967902
2014-05-02,2014-05-05,511880,银华日利ETF,2,0.0,0.0,-0.0671674479967902
2014-05-06,2014-05-09,159934,黄金ETF易方达,4,-0.013709497763335299,-0.014010544320095963,-0.08038488701269197
2014-05-12,2014-05-15,NDX,纳指ETF国泰,4,0.0026638651539026004,0.0026850387088246386,-0.07750524093348743
2014-05-16,2014-05-19,511880,银华日利ETF,2,0.00042265145248365776,0.00042714570494073456,-0.0772145768992688
2014-05-20,2014-05-26,NDX,纳指ETF国泰,5,0.017067611721707232,0.017256390052978077,-0.0810232146154779
2014-05-27,2014-05-27,159934,黄金ETF易方达,1,-0.004803166228920186,-0.00493917752509776,-0.06587233543292603
2014-05-28,2014-06-24,NDX,纳指ETF国泰,20,0.02053678763663358,0.02101689317499633,-0.06858436584542682
2014-06-25,2014-06-25,980080.CN,国证成长100指数,1,-0.006563932498513947,-0.006855336467360917,-0.05294582725486008
2014-06-26,2014-06-30,NDX,纳指ETF国泰,3,0.0057870367648718,0.006004278578203737,-0.05304980369613632
2014-07-01,2014-07-07,159934,黄金ETF易方达,5,-0.0005365857332209067,-0.0005599506430009615,-0.047976306528333845
2014-07-08,2014-07-08,NDX,纳指ETF国泰,1,-0.011925692227596651,-0.012438302784015365,-0.059329848090056814
2014-07-09,2014-07-09,980080.CN,国证成长100指数,1,-0.020956462327671233,-0.021596586108989957,-0.07904296669132227
2014-07-10,2014-07-15,159934,黄金ETF易方达,4,-0.007539449630457606,-0.007606918854478062,-0.0859864758557688
2014-07-16,2014-07-17,NDX,纳指ETF国泰,2,-0.009310874693922888,-0.009323369024615724,-0.09449674124762664
2014-07-18,2014-08-11,980081.CNI,国证价值100指数,17,0.07707977485077233,0.076464565577824,-0.0866769873325276
2014-08-12,2014-08-18,399439.SZ,国证石油天然气指数,5,-0.002158226798316787,-0.0023060288682781316,-0.039378622565810484
2014-08-19,2014-09-08,980080.CN,国证成长100指数,15,0.06299935674108403,0.06716846989594916,-0.03130285737207661
2014-09-09,2014-09-09,NDX,纳指ETF国泰,1,-0.008200558422547966,-0.00929406635370511,-0.008200558422547966
2014-09-10,2014-09-22,980080.CN,国证成长100指数,9,-0.01716580438901727,-0.01929524780353087,-0.03531748300093507
2014-09-23,2014-09-24,511880,银华日利ETF,2,0.0002035112728364652,0.00022483034668807633,-0.026066620323771272
2014-09-25,2014-10-01,980080.CN,国证成长100指数,5,0.015448929965883318,0.017070775026055918,-0.027555779118301538
2014-10-02,2014-10-08,511880,银华日利ETF,5,0.0,0.0,-0.010924868988289593
2014-10-09,2014-10-17,980080.CN,国证成长100指数,7,-0.03217046738989815,-0.03609693200281616,-0.04274387823666104
2014-10-20,2014-10-21,511880,银华日利ETF,2,0.00021227947949431503,0.00023052594179473473,-0.042660626508431165
2014-10-22,2014-10-27,159934,黄金ETF易方达,4,-0.019122124281848896,-0.020770172786211516,-0.06084932866246995
2014-10-28,2014-10-29,511880,银华日利ETF,2,0.0002027595859965814,0.00021602315647362147,-0.060750168922617864
2014-10-30,2014-10-30,980080.CN,国证成长100指数,1,-0.0024608449078026284,-0.002622353309973846,-0.06297047960690161
2014-10-31,2014-11-18,NDX,纳指ETF国泰,13,0.034518952297228234,0.03669395444583756,-0.05094434911917234
2014-11-19,2015-01-02,980081.CNI,国证价值100指数,32,0.31348022063226555,0.34473510193460966,-0.046185237399662515
2015-01-05,2015-01-05,511880,银华日利ETF,1,0.0,0.0,0.0
2015-01-06,2015-01-19,980081.CNI,国证价值100指数,10,-0.07562274690952053,-0.10923236805068104,-0.0852960322535189
2015-01-20,2015-01-27,159934,黄金ETF易方达,6,0.009981332439186197,0.013327131122198965,-0.08461583276998885
2015-01-28,2015-02-05,980080.CN,国证成长100指数,7,-0.021899044321623817,-0.02953157838574061,-0.1073662023527382
2015-02-06,2015-02-10,511880,银华日利ETF,3,0.000507563528648225,0.0006694768872017587,-0.09612731315696654
2015-02-11,2015-02-16,NDX,纳指ETF国泰,4,0.024028439767332266,0.03170962660720522,-0.09253450284288312
2015-02-17,2015-02-17,980080.CN,国证成长100指数,1,0.0005552100961436768,0.0007502999705513158,-0.07370132023871512
2015-02-18,2015-03-06,NDX,纳指ETF国泰,13,0.003167645070514702,0.004283069739896339,-0.07252470579124548
2015-03-09,2015-04-06,980080.CN,国证成长100指数,21,0.2523580395972116,0.34230188741745504,-0.05980510637095671
2015-04-07,2015-04-07,511880,银华日利ETF,1,0.0,0.0,0.0
2015-04-08,2015-05-01,980080.CN,国证成长100指数,18,0.24096746759550292,0.4093351791355473,-0.03628591169681261
2015-05-04,2015-05-04,NDX,纳指ETF国泰,1,0.00079253234400678,0.001670698368830159,0.0
2015-05-05,2015-06-16,980080.CN,国证成长100指数,31,0.3113218259687265,0.656802320490117,-0.06033239798572698
2015-06-17,2015-06-19,980081.CNI,国证价值100指数,3,-0.07010923543244074,-0.1939588632899465,-0.12621177512358273
2015-06-22,2015-06-25,511880,银华日利ETF,4,0.00024422650367861287,0.0006282885220958434,-0.12621177512358273
2015-06-26,2015-06-29,NDX,纳指ETF国泰,2,-0.029716306774522194,-0.07646579709516299,-0.1519704733533811
2015-06-30,2015-07-17,511880,银华日利ETF,14,0.0017631929822006231,0.0044022121506501755,-0.15190405258113593
2015-07-20,2015-07-31,NDX,纳指ETF国泰,10,-0.015593336717149686,-0.03900095551243643,-0.17644615064901192
2015-08-03,2015-08-10,511880,银华日利ETF,6,0.0005176867214262693,0.001274611288643701,-0.1636644353835215
2015-08-11,2015-08-18,980080.CN,国证成长100指数,6,-0.06301047184457598,-0.15522019941456477,-0.21601076989149448
2015-08-19,2015-09-03,159934,黄金ETF易方达,12,0.016358975069045822,0.03775950853500287,-0.21349314766913086
2015-09-04,2015-09-21,511880,银华日利ETF,12,0.0009161450862096299,0.0021492237231850453,-0.20318550962174908
2015-09-22,2015-09-22,NDX,纳指ETF国泰,1,-0.014305337116399697,-0.03359024414528555,-0.2138646547087678
2015-09-23,2015-09-23,511880,银华日利ETF,1,5.884419144464026e-05,0.00013619497004402348,-0.21381839521000812
2015-09-24,2015-09-24,NDX,纳指ETF国泰,1,-0.0029085324267542623,-0.0067321988255661935,-0.21610502990085745
2015-09-25,2015-09-29,511880,银华日利ETF,3,0.0003113821020466201,0.0007186404683068304,-0.21595956877576294
2015-09-30,2015-09-30,399439.SZ,国证石油天然气指数,1,0.0005874294069341257,0.0013561537141817404,-0.21540031269374915
2015-10-01,2015-10-01,980080.CN,国证成长100指数,1,0.0,0.0,-0.21540031269374915
2015-10-02,2015-10-08,511880,银华日利ETF,5,0.0,0.0,-0.21540031269374915
2015-10-09,2015-10-30,980080.CN,国证成长100指数,16,0.11277517509377599,0.26050843300597437,-0.20500874129474012
2015-11-02,2015-11-04,NDX,纳指ETF国泰,3,0.01478214916909959,0.037997347916349344,-0.11657069290562405
2015-11-05,2015-11-26,980080.CN,国证成长100指数,16,0.07770630922472854,0.20269582615745607,-0.11632870276927065
2015-11-27,2015-12-01,511880,银华日利ETF,3,0.00032978380238923855,0.0009270822591398442,-0.044969518844281464
2015-12-02,2015-12-02,NDX,纳指ETF国泰,1,-0.006348384857664535,-0.017852350137860018,-0.0509127350290246
2015-12-03,2015-12-07,980081.CNI,国证价值100指数,3,-0.013886382428601629,-0.03880211632149999,-0.06409212374852713
2015-12-08,2015-12-09,NDX,纳指ETF国泰,2,-0.015229183120295642,-0.04196332153697879,-0.0783452361796878
2015-12-10,2015-12-15,511880,银华日利ETF,4,0.0004257916303589404,0.001155381843378045,-0.0782830110922913
2015-12-16,2015-12-16,980081.CNI,国证价值100指数,1,-0.007670562367688816,-0.02082286593686522,-0.0850254238234498
2015-12-17,2015-12-17,159934,黄金ETF易方达,1,0.0037432450535690442,0.010083642311760066,-0.08160044976703551
2015-12-18,2016-01-04,980081.CNI,国证价值100指数,11,-0.058652138520872255,-0.15858994910994273,-0.13546654740480613
2016-01-05,2016-01-22,159934,黄金ETF易方达,14,0.03421370453383399,0.08708473788979187,-0.12825523111623782
2016-01-25,2016-01-26,511880,银华日利ETF,2,0.00014984055887823367,0.00039444060937876557,-0.10582508047841288
2016-01-27,2016-02-08,159934,黄金ETF易方达,9,0.029198945472449722,0.07687488409525489,-0.10772199526670834
2016-02-09,2016-02-15,511880,银华日利ETF,5,0.0,0.0,-0.07964263149738526
2016-02-16,2016-03-14,159934,黄金ETF易方达,20,0.03265934411496074,0.08849609313758311,-0.08801249691261459
2016-03-15,2016-03-22,NDX,纳指ETF国泰,6,0.016094501306415987,0.0450351115795149,-0.04963876833388059
2016-03-23,2016-03-29,980081.CNI,国证价值100指数,5,-0.025011165870175267,-0.07111181382268317,-0.05844148335855959
2016-03-30,2016-04-04,980080.CN,国证成长100指数,4,0.043622232424740615,0.12092479205062556,-0.01736859890413278
2016-04-05,2016-04-05,NDX,纳指ETF国泰,1,-0.009076888575176412,-0.02625958077259183,-0.026287834642349406
2016-04-06,2016-04-20,980080.CN,国证成长100指数,11,-0.03916028373137015,-0.11226298136718293,-0.06441867931044176
2016-04-21,2016-04-21,511880,银华日利ETF,1,6.956645826461383e-05,0.00019162032898334402,-0.06435359423154285
2016-04-22,2016-04-22,NDX,纳指ETF国泰,1,-0.014669199906148456,-0.04040902077806674,-0.07807877839922961
2016-04-25,2016-04-25,159934,黄金ETF易方达,1,-0.005356911437379597,-0.01454013451617353,-0.08301742873558582
2016-04-26,2016-04-26,NDX,纳指ETF国泰,1,-0.004729344134599245,-0.012767978539202751,-0.08735415488052489
2016-04-27,2016-04-27,511880,银华日利ETF,1,6.953817735100287e-05,0.00018684682826819454,-0.08729069115188837
2016-04-28,2016-05-02,159934,黄金ETF易方达,3,0.021563449320128436,0.057944318345945156,-0.08440848028787473
2016-05-03,2016-05-03,511880,银华日利ETF,1,0.0,0.0,-0.06760953022653271
2016-05-04,2016-05-17,159934,黄金ETF易方达,10,-0.010385029970648052,-0.028507932763983224,-0.08372506568207316
2016-05-18,2016-05-26,511880,银华日利ETF,7,0.0006036039966061946,0.0016397450728491414,-0.07722835930854544
