signal_date,label,symbol,name,kind,score_25,annualized_return_25,r_squared_25,return_10d,qualified,rejection_reason
2014-01-23,国证成长100指数,980080.CN,国证成长100指数,index,0.062330630947100375,0.2993527706895416,0.2082179857681805,0.04980402520805094,True,
2014-01-23,国证价值100指数,980081.CNI,国证价值100指数,index,-0.2144986315514109,-0.47485085712346053,0.45171789907002646,0.04153482173910983,False,score_25_not_positive
2014-01-23,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.5502831360494753,-0.6263192799122077,0.8785984300636722,-0.032494232920452615,False,score_25_not_positive
2014-01-23,纳指ETF国泰,513100,纳指ETF国泰,etf,0.11785356191999531,0.2663111685619972,0.44254081628033193,0.011935208866155067,True,
2014-01-23,黄金ETF易方达,159934,黄金ETF易方达,etf,0.21641745489175374,0.38055788647621824,0.5686847194146325,0.005455666873612763,True,
2014-01-24,国证成长100指数,980080.CN,国证成长100指数,index,0.15427038436664905,0.486188358165772,0.3173057967670395,0.07565541081395044,True,
2014-01-24,国证价值100指数,980081.CNI,国证价值100指数,index,-0.0976347442926801,-0.3746641698174241,0.2605926911566111,0.056138121727239865,False,score_25_not_positive
2014-01-24,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.5139540816973825,-0.6046450552139992,0.8500095672087835,-0.016740791130555932,False,score_25_not_positive
2014-01-24,纳指ETF国泰,513100,纳指ETF国泰,etf,0.03860274140780045,0.16639726998142113,0.2319914347880262,-0.0051325919589392255,False,return_10d_not_positive
2014-01-24,黄金ETF易方达,159934,黄金ETF易方达,etf,0.2526433643096005,0.4093986895287094,0.6171083854724545,0.015259507536369288,True,
2014-01-27,国证成长100指数,980080.CN,国证成长100指数,index,0.2226444916483097,0.6008744283425969,0.3705341434855768,0.0723761265481273,True,
2014-01-27,国证价值100指数,980081.CNI,国证价值100指数,index,-0.05195298736825574,-0.3080076643452204,0.16867433308421154,0.05356489795954378,False,score_25_not_positive
2014-01-27,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.5087638618489279,-0.6001571599178859,0.8477177243349683,-0.0006175111615359663,False,score_25_not_positive
2014-01-27,纳指ETF国泰,513100,纳指ETF国泰,etf,0.0032093307670282047,0.07197486714040324,0.04458960321201677,-0.015371477369769404,False,return_10d_not_positive
2014-01-27,黄金ETF易方达,159934,黄金ETF易方达,etf,0.24473280945921339,0.3965331214234302,0.617181254823554,0.004542174131606513,True,
2014-01-28,国证成长100指数,980080.CN,国证成长100指数,index,0.2755475062881677,0.6761242477807012,0.4075397490810604,0.04847834606790635,True,
2014-01-28,国证价值100指数,980081.CNI,国证价值100指数,index,-0.021378629387775325,-0.23108605673724947,0.09251371410990561,0.03435004020021171,False,score_25_not_positive
2014-01-28,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.48909600177689233,-0.5857319145328489,0.8350168219311924,-0.01081513413531221,False,score_25_not_positive
2014-01-28,纳指ETF国泰,513100,纳指ETF国泰,etf,-5.023464665305106e-05,-0.01821895014724384,0.002757274499741169,-0.0017346053772766545,False,score_25_not_positive
2014-01-28,黄金ETF易方达,159934,黄金ETF易方达,etf,0.21583719362279427,0.3681091481617911,0.5863402056173015,-0.002394677520412891,False,return_10d_not_positive
2014-01-29,国证成长100指数,980080.CN,国证成长100指数,index,0.384891972630797,0.8283616202313115,0.46464244990408876,0.054546168883256474,True,
2014-01-29,国证价值100指数,980081.CNI,国证价值100指数,index,-0.004523731409993301,-0.13718205904494785,0.03297611540085643,0.03384229332284128,False,score_25_not_positive
2014-01-29,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.4728989948719879,-0.5736807241072636,0.824324358479871,-0.006244487873075633,False,score_25_not_positive
2014-01-29,纳指ETF国泰,513100,纳指ETF国泰,etf,-0.007862742170921942,-0.10556694466589012,0.07448110008115527,-0.029812606473594516,False,score_25_not_positive
2014-01-29,黄金ETF易方达,159934,黄金ETF易方达,etf,0.17466714046285603,0.32365945580709155,0.5396633323358291,0.00655014154455924,True,
2014-01-30,国证成长100指数,980080.CN,国证成长100指数,index,0.5227462293295729,0.9706697224341847,0.5385418101006207,0.04707822735008649,True,
2014-01-30,国证价值100指数,980081.CNI,国证价值100指数,index,-0.0004410479794830608,-0.05922577052899036,0.007446893059283588,0.02058384674936997,False,score_25_not_positive
2014-01-30,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.454941919200154,-0.557190322181788,0.8164928590624827,-0.01374213116403289,False,score_25_not_positive
2014-01-30,纳指ETF国泰,513100,纳指ETF国泰,etf,-0.011466511215974508,-0.11922502874024021,0.09617536969487339,-0.020270270270270285,False,score_25_not_positive
2014-01-30,黄金ETF易方达,159934,黄金ETF易方达,etf,0.1490539382436995,0.2943992838469862,0.5062985761920881,0.006992480599303796,True,
2014-02-07,国证成长100指数,980080.CN,国证成长100指数,index,0.6680749282823756,1.1443220470375142,0.5838172304832594,0.07878620230041378,True,
2014-02-07,国证价值100指数,980081.CNI,国证价值100指数,index,7.834965194608797e-06,0.00855097033561214,0.000916266211564154,0.04268240427411096,True,
2014-02-07,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.4359072106642094,-0.5436324984535592,0.8018417072272356,-0.012389211407031864,False,score_25_not_positive
2014-02-07,纳指ETF国泰,513100,纳指ETF国泰,etf,-0.009016580384222215,-0.10933527241145424,0.08246726043074837,-0.01433389544688024,False,score_25_not_positive
2014-02-07,黄金ETF易方达,159934,黄金ETF易方达,etf,0.14784859960150512,0.28994541215971825,0.5099187412562396,0.01071375358366744,True,
2014-02-10,国证成长100指数,980080.CN,国证成长100指数,index,1.008095124256001,1.5777128299333674,0.6389598316815213,0.12760511446307277,True,
2014-02-10,国证价值100指数,980081.CNI,国证价值100指数,index,0.008012002112616674,0.18367072286565156,0.04362155267650991,0.060108062775999116,True,
2014-02-10,国证石油天然气指数,399439.SZ,国证石油天然气指数,index,-0.3499184369209352,-0.49497873758625854,0.7069362991778125,0.01724329168479488,False,score_25_not_positive
2014-02-10,纳指ETF国泰,513100,纳指ETF国泰,etf,-0.0032135095497402596,-0.07771738178874876,0.04134865940897514,-0.0025445292620865922,False,score_25_not_positive
2014-02-10,黄金ETF易方达,159934,黄金ETF易方达,etf,0.1725409285335,0.31989305461157724,0.5393706616825547,0.013408310089544573,True,
2014-02-11,国证成长100指数,980080.CN,国证成长100指数,index,1.366843262162514,1.9546314029670198,0.6992844073249429,0.1028958853531563,True,
