signal_date,rank,label,symbol,name,score_25,annualized_return_25,r_squared_25,return_10d,is_selected
2014-01-14,1,纳指ETF国泰,NDX,纳指ETF国泰,0.1109250926813308,0.2810583304296428,0.39466929342305557,0.002960661863020908,True
2014-01-14,2,黄金ETF易方达,159934,黄金ETF易方达,0.003519119223204526,0.09096038488128677,0.03868848211006759,0.030874066954397428,False
2014-01-15,1,纳指ETF国泰,NDX,纳指ETF国泰,0.15231721043369123,0.32841122837778136,0.4638002518552019,0.0049677393850104945,True
2014-01-15,2,黄金ETF易方达,159934,黄金ETF易方达,0.012827532572703115,0.14003502580257865,0.09160231520067963,0.03167730905645083,False
2014-01-16,1,纳指ETF国泰,NDX,纳指ETF国泰,0.19143621686413248,0.3679016285755481,0.5203462066893823,0.013390195411056904,True
2014-01-16,2,黄金ETF易方达,159934,黄金ETF易方达,0.03426869038670284,0.19501983386921862,0.1757190010206019,0.008536090363317816,False
2014-01-17,1,纳指ETF国泰,NDX,纳指ETF国泰,0.1728249387319058,0.34444668072011053,0.5017465645788568,0.014840065548921366,True
2014-01-17,2,黄金ETF易方达,159934,黄金ETF易方达,0.08282778786075418,0.2658716529908671,0.3115329781456595,0.006148431651896935,False
2014-01-20,1,黄金ETF易方达,159934,黄金ETF易方达,0.1267432444971055,0.31885068579786324,0.3975003038803402,0.005376564457289845,True
2014-01-21,1,纳指ETF国泰,NDX,纳指ETF国泰,0.16903736547842396,0.3355236343880945,0.503801664483943,0.025728970971585108,True
2014-01-21,2,国证成长100指数,980080.CN,国证成长100指数,0.00010835872103955064,0.02493124286268178,0.004346302414058423,0.004416895781481189,False
2014-01-22,1,黄金ETF易方达,159934,黄金ETF易方达,0.21880222067539748,0.3866237602591074,0.5659306104952284,0.007394047046943575,True
2014-01-22,2,纳指ETF国泰,NDX,纳指ETF国泰,0.164713207133519,0.3243109729251956,0.50788663006944,0.019638236023490574,False
2014-01-22,3,国证成长100指数,980080.CN,国证成长100指数,0.011342449806841216,0.1389968195083664,0.08160222548227802,0.025388776836190896,False
2014-01-23,1,黄金ETF易方达,159934,黄金ETF易方达,0.21641745489175374,0.38055788647621824,0.5686847194146325,0.005455666873612763,True
2014-01-23,2,纳指ETF国泰,NDX,纳指ETF国泰,0.14980650383399738,0.30213494391175444,0.4958264737419842,0.012955440393593864,False
2014-01-23,3,国证成长100指数,980080.CN,国证成长100指数,0.062330630947100375,0.2993527706895416,0.2082179857681805,0.04980402520805094,False
2014-01-24,1,黄金ETF易方达,159934,黄金ETF易方达,0.2526433643096005,0.4093986895287094,0.6171083854724545,0.015259507536369288,True
2014-01-24,2,国证成长100指数,980080.CN,国证成长100指数,0.15427038436664905,0.486188358165772,0.3173057967670395,0.07565541081395044,False
2014-01-27,1,黄金ETF易方达,159934,黄金ETF易方达,0.24473280945921339,0.3965331214234302,0.617181254823554,0.004542174131606513,True
2014-01-27,2,国证成长100指数,980080.CN,国证成长100指数,0.2226444916483097,0.6008744283425969,0.3705341434855768,0.0723761265481273,False
2014-01-28,1,国证成长100指数,980080.CN,国证成长100指数,0.2755475062881677,0.6761242477807012,0.4075397490810604,0.04847834606790635,True
2014-01-29,1,国证成长100指数,980080.CN,国证成长100指数,0.384891972630797,0.8283616202313115,0.46464244990408876,0.054546168883256474,True
2014-01-29,2,黄金ETF易方达,159934,黄金ETF易方达,0.17466714046285603,0.32365945580709155,0.5396633323358291,0.00655014154455924,False
2014-01-30,1,国证成长100指数,980080.CN,国证成长100指数,0.5227462293295729,0.9706697224341847,0.5385418101006207,0.04707822735008649,True
2014-01-30,2,黄金ETF易方达,159934,黄金ETF易方达,0.1490539382436995,0.2943992838469862,0.5062985761920881,0.006992480599303796,False
2014-02-07,1,国证成长100指数,980080.CN,国证成长100指数,0.6680749282823756,1.1443220470375142,0.5838172304832594,0.07878620230041378,True
2014-02-07,2,黄金ETF易方达,159934,黄金ETF易方达,0.14784859960150512,0.28994541215971825,0.5099187412562396,0.01071375358366744,False
